InvoiceMonth,MonthlyRevenue
2009-01,35.64
2009-02,37.62
2009-03,37.62
2009-04,37.62
2009-05,37.62
2009-06,37.62
2009-07,37.62
2009-08,37.62
2009-09,37.62
2009-10,37.62
2009-11,37.62
2009-12,37.62
2010-01,52.62
2010-02,46.62
2010-03,44.62
2010-04,37.62
2010-05,37.62
2010-06,37.62
2010-07,37.62
2010-08,37.62
2010-09,36.63
2010-10,37.62
2010-11,37.62
2010-12,37.62
2011-01,37.62
2011-02,37.62
2011-03,37.62
2011-04,51.62
2011-05,42.62
2011-06,50.62
2011-07,37.62
2011-08,37.62
2011-09,37.62
2011-10,37.62
2011-11,23.76
2011-12,37.62
2012-01,37.62
2012-02,37.62
2012-03,37.62
2012-04,37.62
2012-05,37.62
2012-06,37.62
2012-07,39.62
2012-08,47.62
2012-09,46.71
2012-10,42.62
2012-11,37.62
2012-12,37.62
2013-01,37.62
2013-02,27.72
2013-03,37.62
2013-04,33.66
2013-05,37.62
2013-06,37.62
2013-07,37.62
2013-08,37.62
2013-09,37.62
2013-10,37.62
2013-11,49.62
2013-12,38.62
